,county,inspector,siteName,Permittee,reportNumber,permit,date,sitecondition,sitestatus,EvidenceCollected,Compliance,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19,Q_20,Q_21,Q_22,Q_23,Q_24,Q_25,Q_26,Q_27,Q_28,Q_29,Q_30,comments
2642,Allegany,MONGOLD,Frostburg Loadout,Arch Coal / Vindex Energy Corp.,SC118-171106-FIR,SC-87-118,11/6/17,C,C,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,have,removed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,7/31/18,N/A,N/A,N/A,N/A,Yes,N/A, No changes in permit conditons since my last inspection.  There are some bare areas that need to be repaired.        
2631,Allegany,MONGOLD,Clark Tipple,Tri Star Mining Inc.,117-171106-FIR,SC-87-117,11/6/17,C,A,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,events.,N/A,N/A,N/A,N/A,N/A,N/A,11/1/16,Yes,N/A,N/A,this,N/A,N/A, No changes in permit conditons since my last inspection  Pond was not discharging.  No environmental problems were observed during this inspection.    
2434,Garrett,MURPHY,Duckworth Mine,"G & S Coal Company, Inc",454-171101-FIR,SM-07-454,11/1/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,Yes,Yes,pumping,Yes,Yes,Yes,Yes,Contemporaneous?,Yes,12/10/17,Yes,Yes,Yes,Yes,Yes,12/10/17,"Inspection today with the LRC and BOM staff to review the new Bakerstown ammendment. The LRC voted to approve this ammendment.       Mining on the Harlem seam today. Discharge today from pond #2  as follows:  pH 7.1, 386 Us at 40 degrees F.  Discharge from pond #3 has  pH 7.3, 224 Us, at 42 degrees F.  Pond #1 has a 6.2 pH , 1592 Us, at 41 degrees F.      "
2083,Allegany,MURPHY,Koontz Mine,"Beechwod Coal, LLC",403-171031-FIR,SM-08-403,10/31/17,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,Yes,N/A,N/A,This permit is in the final stage of bond release.  Little change on site since last inspection.  No problems observed.     
2084,Allegany,MURPHY,Koontz Mine,"Beechwod Coal, LLC",403-171031-FIR,SM-08-403,10/31/17,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,Yes,N/A,N/A,This permit is in the final stage of bond release.  Little change on site since last inspection.  No problems observed.     
2085,Allegany,MURPHY,Koontz Mine,"Beechwod Coal, LLC",403-171031A-FIR,SM-08-403,10/31/17,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,Yes,N/A,N/A,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.     "
2093,Allegany,MURPHY,Koontz Mine,"Clise Coal Co., Inc.",404-171031-FIR,SM-86-404,10/31/17,no answer given,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,adequate?,current?,N/A,N/A,N/A,N/A,N/A,Current?,This permit is in the final stages of bond release.  Little change since last inspection.   
2094,Allegany,MURPHY,Koontz Mine,"Clise Coal Co., Inc.",404-171031A-FIR,SM-86-404,10/31/17,no answer given,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,adequate?,current?,N/A,N/A,N/A,N/A,N/A,Current?,"Aerial inspection today with John Carey, Tom Murray, and Jeff Snyder present.  Permit will be reviewed and discussed at a later date.   "
2655,Garrett,MURPHY,Steyer Deep Mine,"Deer Haven Farms, LLC",121-171027-FIR,SC-17-121,10/27/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,2/16/18,Yes,Yes,Yes,Yes,Yes,N/A,. No discharge today.  Little change since last inpection.   Reveg on the highwall slope looks good.     
2576,Garrett,SCHARTIGER,Casselman Mine,Maryland Energy Resources,DM-113-171026-FIR,DM-09-113,10/26/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,N/A,N/A,Yes,No,N/A,N/A,N/A,Yes,N/A,Yes,Yes,No,Turbidity,N/A,N/A,N/A,N/A,N/A,Yes,11/1/17,Yes,Yes,Yes,Yes,Yes,N/A,"Office review of a Citizen's Complaint filed with the Bureau on 10-20-17 in regards to the site lighting at the Casselman Mine.  The Bureau has received complaints in the past on the site lighting at the DM-09-113 Casselman Deep Mine. At that time, the operator manually adjusted the mine site lighting away from the Amish Road area to the best of their ability. The limits of adjustment were established by illumination requirements set by MSHA.  No further actions on this issue will be taken by the Bureau.  The operator is not required to make any changes in regards to site illumination.   Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2100,Allegany,MURPHY,Harvey Mine,"Ritchie Trucking & Excavating, Inc.",407-171026-FIR,SM-86-407,10/26/17,C,C,VO,no answer given,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,11/23/16,N/A,N/A,N/A,Yes,N/A,N/A,"Inspection today with Mark Carney present to review site for bond release.  There are 22 acres of phase 2, as per Planting Reports # 1 & 2, and 56 acres of phase 3, as per Planting Reports #'s 1,2, and 3, which meet Permit requirements for bond release.     "
2418,Allegany,SCHARTIGER,Walker Mine,"Walker Bros. Mining, Inc.",453-171025-FIR,SM-07-453,10/25/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,#2,N/A,N/A,N/A,Yes,Yes,Yes,1/8/18,Yes,Yes,Yes,Yes,Yes,N/A,"Onsite review today with John Shannon, Superintendant for Walker Brothers Mining, for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  The site is active today with mining operations in progress on the Red Stone and Big Vein Coal Seams. Coal is being blended and stockpiled.  No discharges are noted at any of the three ponds today. Lime is placed in the ditches to Ponds 1 and 2 to pre-treat water entering the ponds.  No Issues Noted  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2542,Garrett,MONGOLD,Messenger/Harlem Mine,"G & S Coal Company, Inc",455-171024-FIR,SM-08-455,10/24/17,C,I,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,N/A,N/A,N/A,Yes,Yes,No,12/10/17,Yes,Yes,Yes,N/A,N/A,N/A," The seep was not flowing on this date.  Drainage and sediment controls are functioning properly. Pond #1 was discharging a 7.8 ph, 1116 specific conductance @ 57 degrees F...   Please note that backfilling equipment is to be returned to this permit site by November 15, 2017 and backfilling is to resume until the site is totally backfilled and reclaimed.  If you have any questions please contact this inspector.          "
2652,Garrett,MONGOLD,Snake Hill Yard No. 1,"G & S Coal Company, Inc",SC120-171024-FIR,SC-07-120,10/24/17,C,A,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,events.,N/A,N/A,N/A,N/A,N/A,N/A,12/10/16,Yes,Yes,N/A,this,N/A,N/A, There was no activity at this site during this inspection.  Sediment and drainage controls are functioning properly. Pond #1 was not discharging. NetDMR's are being submitted on time with no violations noted.  No changes or environmental concerns were observed during this inspection.         
2242,Allegany,MURPHY,Watertank Pittsburg Mine,"Cobra Mining, Inc.",437-171023-FIR,SM-01-437,10/23/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,needed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,10/27/17,No discharge today.  DMR's are current and appear in good order.   Mining and backfilling in progress. Renew your blasting adv. if you have not done so already.     
2145,Garrett,MURPHY,Weir-Jones Mine,Pine Mountain Coal Company,424-171023-FIR,SM-95-424,10/23/17,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,10/1/17,Yes,Yes,Yes,Yes,Yes,Yes,No discharge today. Pond levels are very low or dry. No problems observed.  Renew your insurance if you have not already done so.     
2676,Garrett,SCHARTIGER,Bakerstown No. 1 Mine,Backbone Mountain LLC,DM-112-171019-FIR,DM-03-112,10/19/17,C,I,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"Onsite review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  The mine is in Inactive Status.  Discussed the Draw Down Well and associated pipe installation with Aaron Miller. The rising mine pool elevation will drive the schedule for future work at the site. Mettiki is planning on completing this work throughout the fall of this year.  The current Mine Pool Elevation is 8' below the elevation that requires pump and pipe installation.  No changes on the site. Pond is discharging.  No issues noted.   Any questions or concerns, please contact this inspector @ (301)697-0344.     "
2173,Allegany,MONGOLD,Carlos Mine,"Beechwod Coal, LLC",393-171019-FIR,SM-84-393,10/19/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,events.,Yes,Yes,Yes,Yes,Yes,Yes,11/23/17,Yes,Yes,Yes,Yes,Yes,6/6/18, Mining on the Redstone coal seam today.  Coal is being processed and loaded for shipment.  Sediment and drainage controls were functioning properly. The ponds were not discharging. Quarterly BOM water monitoring and NetDMR's are being submitted on time with no violations noted.  Pond material is being dumped on site from MER as per the approved permit. No problems from the dump site were observed.  The most recent blasting report was review with no violations being noted.  No environmental problems were observed during this inspection.    
2529,Garrett,SCHARTIGER,Mettiki Mine,Mettiki Coal LLC,DM-101-171019-FIR,DM-84-101,10/19/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On site review today with Dewight Kriezer and Aaron Miller for the purposes of inspection and enforcement for the Maryland Bureau of Mines.  Remediation work is underway at the seep areas located between Ponds 1 and 8. The operator will be working at and possibly over the Permitted Acreage at the seep remediation area. If the operator needs to work outside the permitted area, the operator will notify this inspector and will submit an Incidental Boundary Revision along with ""As-Built"" drawings of the area upon completion of remediation work. All work for seep remediation will be performed on Mettiki Coal property.  Coal is stockpiled and is being trucked and trained off of the site.  Any questions or concerns, please contact this inspector @ (301)697-0344     "
2163,Allegany,MONGOLD,Barton North Mine,Arch Coal / Vindex Energy Corp.,427-171018-FIR,SM-96-427,10/18/17,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,completed.,Yes,7/31/18,Yes,Yes,N/A,N/A,N/A,N/A," This was a Bond Release Inspection conducted with BOM Revegetation Specialist Mark Carney and Vindex Energy employees Rodney Tichinel, Terry Nair and Nick Riggins.  The bond release was for Phase I, II and III for 4 acres of haulroad. The area does meet the standards and was approved for release on this date.    "
2051,Allegany,MURPHY,Silt Pit,"Beechwod Coal, LLC",359-171018-FIR,SM-08-359,10/18/17,no answer given,A,VO,N/A,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"No discharge today. Pond level is low. DMR,s are current and appear in good order. This site is revegetated except for the refuse pit. No problems observed.     "
2302,Allegany,MURPHY,Hampshire Hill,Not filled out,430-171018-FIR,SM-98-430,10/18/17,no answer given,I,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,Yes,No,No,N/A,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,12/10/17,Yes,Yes,Yes,N/A,Yes,N/A,"No discharge today, ponds are empty. DMR,s are current and appear in good order. Little change from last inspection.      "
2328,Garrett,MONGOLD,Crawford Farm,Tri Star Mining Inc.,444-171018-FIR,SM-03-444,10/18/17,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,complete.,Yes,11/1/17,N/A,N/A,N/A,N/A,N/A,N/A,   This was a Bond Release inspection conducted with BOM Revegetation Specialist Mark Carney and Tri-Star Mining General Mine Foreman Ray Tighe.  Tri -Star Mining has submitted an application for Phase III Bond Releas of Planting report #8 containing 6 acres. This area was inspected on this date and meets the standards for revegetation success and was approved on this date.       
2219,Allegany,SCHARTIGER,Hampshire Hill Mine,Tri Star Mining Inc.,436-171018FIR,SM-03-436,10/18/17,C,A,VO,no answer given,Yes,Yes,Yes,Little,Yes,N/A,the,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes," On site review of the permit area today with Mr. Mark Beachy, Land Owner, Ray Tighe, Mine Superintendant, Mark Carney and Ralph Mongold, Bureau of Mines, for the purpose of Phase III Bond Release and for inspections and enforcement for the Maryland Bureau of Mines.  The Permit is active today. Mining is in progress on the Little Pittsburgh Coal Seam. Coal is stockpiled and blending is in progress, coal is being trucked off site. Roads are being watered today.  Ditch and sump maintenance has been completed at several locations throughout the permit. Rill and wash repair is scheduled for the coming weeks.  There are two Planting Reports up for Phase III Bond Release review today. Planting Report #6 has 12 acres; Planting Report #25 has 6 acres. Both of the Planting Reports are on the Beachy Tract. Land Owner, Mark Beachy was present for the Bond Release review. After the reviews, I asked Mr. Beachy if he had any objections to either of the areas being released. He replied that he had ""no objections, the areas look great"".  Mr. Beachy asked about removal of the haul road that goes through his property, I told him that the haul road will be narrowed up in the coming weeks, but will need to remain open for vegetation inspections, equipment transport for any additional reclamation and repairs, rill repairs and Bond Release Inspections. Mr. Beachy was frustrated when I told him that the haul road needed to be kept open for the five year Bond Release time period.  Any questions or concerns, please contact this inspector @ (301) 697-0344     "
2561,Garrett,MONGOLD,Taylor #1 Mine,ARJ Construction,DM111-171017-FIR,DM-00-111,10/17/17,C,A,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,events.,N/A,N/A,N/A,N/A,N/A,Yes,12/15/17,Yes,Yes,Yes,Yes,Yes,N/A, This deep mine site was actively mining coal on one section today.  Coal was being processed and loaded onto trucks for shipment.  Drainage and sediment controls are functioning properly. Pond #1 was not discharging. Pond #2 was not discharging. Quarterly BOM water monitoring and NetDMR's are being submitted on time with no violations noted.  The haulroad is being watered and was in satisfactory condition.  No problems were observed during this inspection.    
2338,Garrett,MONGOLD,Little Pittsburgh Strip,"Savage Mountain Minerals, Inc.",445-171017-FIR,SM-04-445,10/17/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,7/31/18,Yes,Yes,N/A,N/A,N/A,N/A, On site review of the permit area this date.   No environmental problems observed this date.     
2343,Garrett,MONGOLD,Pittsburgh Strip,"Savage Mountain Minerals, Inc.",446-171017-FIR,SM-04-446,10/17/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,9/30/18,Yes,Yes,Yes,Yes,Yes,12/31/17, The Operator has submitted a request for temporary cessation of mining activities at this site to be approved.  Sediment and drainage controls were functioning properly. Ponds were not discharging. Quarterly BOM water monitoring and NetDMR's are being submitted on time with no violations noted.  The Operator is working on backfilling operations.  No problems were observed during this inspection.     
2611,Allegany,MURPHY,Shaft Tipple,"United Energy Coal, Inc.",110-171017-FIR,SC-83-110,10/17/17,no answer given,R,VO,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,No,No,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,This is an AML reclamation project managed by the  Bureau of Mines.  No discharge today.  No problems observed.     
2641,Allegany,MONGOLD,Frostburg Loadout,Arch Coal / Vindex Energy Corp.,SC118-171016-FIR,SC-87-118,10/16/17,C,C,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,have,removed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,7/31/18,N/A,N/A,N/A,N/A,Yes,N/A," Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  There are some bare areas that need to be repaired.        "
2162,Allegany,MONGOLD,Barton North Mine,Arch Coal / Vindex Energy Corp.,427-171016-FIR,SM-96-427,10/16/17,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,completed.,Yes,7/31/18,Yes,Yes,N/A,N/A,N/A,N/A," Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  No environmental problems were observed during this inspection.    "
2194,Allegany,MONGOLD,Jackson Mountain Mine,Arch Coal / Vindex Energy Corp.,432-171016-FIR,SM-99-432,10/16/17,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,site.,N/A,N/A,Yes,Yes,Yes,7/31/17,Yes,Yes,N/A,N/A,N/A,N/A,"   Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  No environmental problems were observed during this inspection.     "
2566,Garrett,MONGOLD,Taylor #1 Mine,ARJ Construction,DM111-171016-FIR,DM-00-111,10/16/17,C,A,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,events.,N/A,N/A,N/A,N/A,N/A,Yes,12/15/17,Yes,Yes,N/A,N/A,N/A,N/A," Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  No environmental problems were observed during this inspection.   "
2583,Garrett,MONGOLD,Taylor No. 1 Lower Bakerstown Mine,ARJ Construction,DM114-171016-FIR,DM-17-114,10/16/17,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,construction,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,12/15/17,Yes,No,Yes,N/A,N/A,Yes," Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  The newly constructed Pond #3 is very turbid and needs to be treated for suspended solids in order to compliant with discharge limits when discharging.   "
2513,Garrett,MONGOLD,Lower Bakerstown Mine,ARJ Construction,463-171016-FIR,SM-13-463,10/16/17,C,A,P,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,12/15/17,Yes,Yes,N/A,N/A,N/A,8/22/18," Aerial inspections of the surface area of all coal mine sites were conducted today by BOM Director John Carey, BOM Permitting Section Jeff Snyder and BOM Inspection and Enforcement Supervisor Tom Murray. Photographs of each site were taken.  No environmental problems were observed during this inspection.  "
